--- Cells with Fills ---
Cell A32: val='' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell B32: val='PARMA' | type=solid | fg=FFEFF6FF | bg=FFF8FAFC
Cell C32: val='19836' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J32: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q32: val='318.0438461538462' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C33: val='7888' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J33: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q33: val='285.68384615384616' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C34: val='7894' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J34: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q34: val='285.68384615384616' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell A35: val='' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell B35: val='BLEND' | type=solid | fg=FFEFF6FF | bg=FFF8FAFC
Cell C35: val='17717' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J35: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q35: val='504.5338461538462' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C36: val='19932' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J36: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q36: val='538.9438461538462' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C37: val='12951' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J37: val='2' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q37: val='1077.8876923076923' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C38: val='19724' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J38: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q38: val='486.8138461538462' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C39: val='19837' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J39: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q39: val='449.2038461538462' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell C40: val='10541' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J40: val='3' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q40: val='1616.8315384615385' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell A41: val='' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell B41: val='CHANDON GIRATÓRIA' | type=solid | fg=FFEFF6FF | bg=FFF8FAFC
Cell C41: val='12220' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J41: val='2' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q41: val='811.3876923076923' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell A42: val='' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell B42: val='CHABLIS' | type=solid | fg=FFEFF6FF | bg=FFF8FAFC
Cell C42: val='19901' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J42: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q42: val='476.1038461538462' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell A43: val='' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell B43: val='CHABLIS
CHESS' | type=solid | fg=FFEFF6FF | bg=FFF8FAFC
Cell C43: val='19902' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J43: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q43: val='747.0638461538462' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell B44: val='SANTORINI' | type=solid | fg=FFEFF6FF | bg=FFF8FAFC
Cell C44: val='19592' | type=solid | fg=FFFFFFFF | bg=FFF8FAFC
Cell J44: val='1' | type=solid | fg=FFECF9E7 | bg=FFEFF6FF
Cell Q44: val='776.2938461538462' | type=solid | fg=FFFFF3F3 | bg=FFF8FAFC
Cell J45: val='39' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell K45: val='90.49024199999997' | type=solid | fg=FF2C3E50 | bg=FF333399
Cell L45: val='' | type=solid | fg=FFF8FAFC | bg=FFFFFFFF
Cell M45: val='' | type=solid | fg=FFF8FAFC | bg=FFFFFFFF
Cell O45: val='' | type=solid | fg=FFF8FAFC | bg=FFFFFFFF
Cell P45: val='' | type=solid | fg=FFF8FAFC | bg=FFFFFFFF
Cell Q45: val='17820.09' | type=solid | fg=FF2C3E50 | bg=FF333399
