Sheet: Planilha1
R1: MODELO | MODELO | COMP. 
MONTADO | PROF.
MONTADO | ALTURA
MONTADO | COMP (m)
EMABALADO | PROF (m)
EMBALADO | ALTURA (m)
EMBALADO | VOL (m³) | QTD NO CAMINHÃO | QTD NO CONTAINER | COMPOSIÇÃO | LINHA | VALOR EM REAIS (UND) | None | None | None | None | None | None
R29: None | MANHATAN | 2.3 | 1.21 | 1.15 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 2106 | None | None | None | None | None | None
R30: None | MANHATAN | 2.5 | 1.21 | 1.15 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 2073 | None | None | None | None | None | None
R31: None | MANHATAN | 2.5 | 1.21 | 1.15 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1939 | None | None | None | None | None | None
R32: None | MANHATAN | 2.5 | 1.21 | 1.15 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 2195 | None | None | None | None | None | None
R33: None | MANHATAN | 2.5 | 1.21 | 1.15 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 2273 | None | None | None | None | None | None
R34: None | MANHATAN | 2.5 | 1.21 | 1.15 | 1.27 | 1.23 | 0.75 | 1.171575 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-10 | 2250 | None | None | None | None | None | None
R35: None | MANHATAN | 2.5 | 1.21 | 1.15 | 1.27 | 1.23 | 0.75 | 1.171575 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-12 | 2100 | None | None | None | None | None | None
R36: None | MANHATAN | 2.5 | 1.21 | 1.15 | 1.27 | 1.23 | 0.75 | 1.171575 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-13 | 2368 | None | None | None | None | None | None
R37: None | MANHATAN | 2.5 | 1.21 | 1.15 | 1.27 | 1.23 | 0.75 | 1.171575 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-14 | 2473 | None | None | None | None | None | None
R38: None | MANHATAN | 2.9 | 1.21 | 1.15 | 1.47 | 1.23 | 0.75 | 1.356075 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-10 | 2600 | None | None | None | None | None | None
R39: None | MANHATAN | 2.9 | 1.21 | 1.15 | 1.47 | 1.23 | 0.75 | 1.356075 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-12 | 2439 | None | None | None | None | None | None
R40: None | MANHATAN | 2.9 | 1.21 | 1.15 | 1.47 | 1.23 | 0.75 | 1.356075 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-13 | 2723 | None | None | None | None | None | None
R41: None | MANHATAN | 2.9 | 1.21 | 1.15 | 1.47 | 1.23 | 0.75 | 1.356075 | #REF! | #REF! | BIPARTIDO - 2 ASSENTOS | TC-14 | 2839 | None | None | None | None | None | None
R42: None | FIRENZE | 2.1 | 1.21 | 1.1 | 2.12 | 1.23 | 0.75 | 1.9557 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 1818 | None | None | None | None | None | None
R43: None | FIRENZE | 2.1 | 1.21 | 1.1 | 2.12 | 1.23 | 0.75 | 1.9557 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1706 | None | None | None | None | None | None
R44: None | FIRENZE | 2.1 | 1.21 | 1.1 | 2.12 | 1.23 | 0.75 | 1.9557 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 1917 | None | None | None | None | None | None
R45: None | FIRENZE | 2.1 | 1.21 | 1.1 | 2.12 | 1.23 | 0.75 | 1.9557 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 1995 | None | None | None | None | None | None
R46: None | FIRENZE | 2.3 | 1.21 | 1.1 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 1950 | None | None | None | None | None | None
R47: None | FIRENZE | 2.3 | 1.21 | 1.1 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-12 | 1828 | None | None | None | None | None | None
R48: None | FIRENZE | 2.3 | 1.21 | 1.1 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-13 | 2056 | None | None | None | None | None | None
R49: None | FIRENZE | 2.3 | 1.21 | 1.1 | 2.32 | 1.23 | 0.75 | 2.1402 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-14 | 2134 | None | None | None | None | None | None
R50: None | FIRENZE | 2.5 | 1.21 | 1.1 | 2.52 | 1.23 | 0.75 | 2.3247 | #REF! | #REF! | PEÇA ÚNICA - 2 ASSENTOS | TC-10 | 2095 | None | None | None | None | None | None
