Row  29 | Model: ESTOFADO ANKUR            | Desc: Módulo (2Ass:080 - 1Me:055)              | W=2.15 | D=1.08 | H=0.86 | PA=0.00 | M3=2.322 | Prices=[2924.5149937499996, 3003.592725, 3127.8577312499997, 3240.8259187499993, 3365.090925, 3489.3559312499992, 3613.6209374999994, 3828.2604937499996, 4178.461875]
Row  30 | Model: ESTOFADO ANKUR            | Desc: Módulo (2Ass:090 - 1Me:055)              | W=2.35 | D=1.08 | H=0.86 | PA=0.00 | M3=2.538 | Prices=[3137.5212749999996, 3221.3627250000004, 3353.1135749999994, 3472.887075, 3604.637925, 3736.3887749999994, 3868.1396250000007, 4095.7092749999997, 4467.007125]
Row  31 | Model: ESTOFADO ANKUR            | Desc: Módulo (2Ass:100 - 1Me:055)              | W=2.55 | D=1.08 | H=0.86 | PA=0.00 | M3=2.754 | Prices=[3388.6373062499997, 3477.2424749999996, 3616.479168749999, 3743.0579812499996, 3882.2946749999996, 4021.5313687499993, 4160.7680625, 4401.267806249999, 4793.662124999999]
Row  32 | Model: ESTOFADO ANKUR            | Desc: Módulo (2Ass:110 - 1Me:055)              | W=2.75 | D=1.08 | H=0.86 | PA=0.00 | M3=2.970 | Prices=[3604.3657124999995, 3697.7345999999993, 3844.4571374999996, 3977.841262499999, 4124.5638, 4271.2863375, 4418.008875, 4671.438712499999, 5084.929499999999]
Row  34 | Model: ESTOFADO ANKUR            | Desc: Canto 1,04x1,04                          | W=1.04 | D=1.04 | H=0.86 | PA=0.00 | M3=1.082 | Prices=[1819.2273750000002, 1876.3919999999996, 1966.2221250000002, 2047.8858750000002, 2137.716, 2227.5461250000003, 2317.3762500000003, 2472.5373750000003, 2725.695]
Row  36 | Model: ESTOFADO ANKUR            | Desc: Chaise (1Ass:090 - 1Br:020)              | W=1.10 | D=1.80 | H=0.86 | PA=0.00 | M3=1.980 | Prices=[2408.3041500000004, 2465.2813500000007, 2554.81695, 2636.2129500000005, 2725.74855, 2815.28415, 2904.81975, 3059.47215, 3311.7997500000006]
Row  37 | Model: ESTOFADO ANKUR            | Desc: Chaise (1Ass:100 - 1Br:020)              | W=1.20 | D=1.80 | H=0.86 | PA=0.00 | M3=2.160 | Prices=[2571.98641875, 2631.6344249999997, 2725.36700625, 2810.57844375, 2904.3110250000004, 2998.04360625, 3091.7761875, 3253.67791875, 3517.833375]
Row  38 | Model: ESTOFADO ANKUR            | Desc: Chaise (1Ass:110 - 1Br:020)              | W=1.30 | D=1.80 | H=0.86 | PA=0.00 | M3=2.340 | Prices=[2738.2123125000003, 2800.531125, 2898.4606875000004, 2987.4875625, 3085.417125, 3183.3466875000004, 3281.2762500000003, 3450.4273125, 3726.4106249999995]
Row  40 | Model: ESTOFADO ANKUR            | Desc: Puff 104x104                             | W=1.04 | D=1.04 | H=0.45 | PA=0.00 | M3=1.082 | Prices=[1439.6281593750002, 1471.2327, 1520.896978125, 1566.0463218749999, 1615.7106, 1665.3748781250001, 1715.03915625, 1800.8229093750003, 1940.785875]
Row  42 | Model: ESTOFADO ANKUR            | Desc: Puff 0,80 x 0,80                         | W=0.80 | D=0.80 | H=0.45 | PA=0.00 | M3=0.640 | Prices=[1056.74900625, 1075.44465, 1104.82351875, 1131.53158125, 1160.91045, 1190.28931875, 1219.6681875000002, 1270.4135062500002, 1353.2085000000004]
Row  43 | Model: ESTOFADO ANKUR            | Desc: Puff 0,90 x 0,80                         | W=0.90 | D=0.80 | H=0.45 | PA=0.00 | M3=0.720 | Prices=[1125.17251875, 1145.6487, 1177.82555625, 1207.07724375, 1239.2541, 1271.4309562500002, 1303.6078125, 1359.18601875, 1449.86625]
